Hundert Jahre Einsamkeit,Gabriel Garcia Marquez,Fiction,DE,Berlin
Ich kehre zurück nach Afrika,Stefanie Gercke,Fiction,DE,Berlin
In alter Vertrautheit,David Foster Wallace,Fiction,DE,Berlin
In einem andern land,Ernest Hemingway,Fiction,DE,Berlin
Irischen Tagebuch,Heinrich Böll,Fiction,DE,Berlin
Juli zeh nullzeit,Schöffling & Co.,Fiction,DE,Berlin
Katz und Maus,Güter Grass,Fiction,DE,Berlin
Küsschen küsschen!,Roald Dahl,Fiction,DE,Berlin
Leviathan julien green amazon,Julien Green,Fiction,DE,Berlin
Liebe Mill,"Wilhelm Grimm, Maurice Sendak",Fiction,DE,Berlin
Lolita,Vladimir Nabokov,Fiction,DE,Berlin
Lord Jim,Joseph Conrad,Fiction,DE,Berlin
Mein name sei gantenbein,Max frish,Fiction,DE,Berlin
Mister auziehvogel,Haruki Murakami,Fiction,DE,Berlin
Moje Ewangelie,Eric-Emmanuel Schmitt,Fiction,DE,Berlin
Monsieur ibrahim und die blumen des koran!,Eric-Emmanuel Schmitt,Fiction,DE,Berlin
Mutmassungen über Jakob,Uwe Johnson,Fiction,DE,Berlin
Nachtflug,Antoine de Saint-Exupery,Fiction,DE,Berlin
Per Anhalter durch die Galaxis,Douglas Adams,Fiction,DE,Berlin
"Pnin
",Vladimir Nabokov,Fiction,DE,Berlin
Portät in Sepia,Isabel Allende,Fiction,DE,Berlin
Preussen ohne legende,Sebastian Haffner,Fiction,DE,Berlin
Schiffbruch mit Tiger,Yann Martel,Fiction,DE,Berlin
Schneeweiss und Russenrot,Dorota Maslowska,Fiction,DE,Berlin
Schwätzer,Karl-Heinz Göttert,Fiction,DE,Berlin
Schweigeminute,Siegfired Lenz,Fiction,DE,Berlin
"Sei wie ein Fluß, der still die Nacht durchströmt",Paulo Coelho,Fiction,DE,Berlin
Selam Berlin,Yadé Kara,Fiction,DE,Berlin
Stenstuden der bedeutungslosigkeit,rocko schamoni,Fiction,DE,Berlin
Stiller,Max Frisch,Fiction,DE,Berlin
Stiller,Max Frish,Fiction,DE,Berlin
Stolz und vorurteil,Jane austen,Fiction,DE,Berlin
Tanztheatergeschichten,Pina Bausch,Fiction,DE,Berlin
The picture of dorian gray,Oscar Wilde,Fiction,EN,Berlin
Tortilla flat,John steinbeck,Fiction,DE,Berlin
Traumpfade,Bruce Chatwin,Fiction,DE,Berlin
tschik,Wolfgang Herrndorf,Fiction,DE,Berlin
Und Nietzsche weinte,Irvin D. Yalom,Fiction,DE,Berlin
Und sagte kein einziges wort,Heinrich Böll,Fiction,DE,Berlin
Vergessenheit,David Foster Wallace,Fiction,DE,Berlin
Von Mäusen und Menschen,John Steinbeck,Fiction,DE,Berlin
Wahnsee,Robert Haasnoot,Fiction,DE,Berlin
"Wanderer, kommst du nach Spa",Heinrich Böll,Fiction,DE,Berlin
Was ich liebte,Siri Hustvedt,Fiction,DE,Berlin
Weltbeziehungen in zeitalter der beschleunigung,Hartmut Rosa,Fiction,DE,Berlin
Wenn ein Reisender in einer winternacht,Italo Calvino,Fiction,DE,Berlin
Wie ein stein im geröll ,Maria Barbel,Fiction,DE,Berlin
Wie ich eines schönen morgens im april das 100%ige mädchen sah,Haruki Murakami,Fiction,DE,Berlin
Wiedersehen in howards end,Edward Morgan Forster,Fiction,DE,Berlin
Wilde schafsjagd,Haruki Murakami,Fiction,DE,Berlin
Wind Sand Sterne,Antoine de Saint-Exupery,Fiction,DE,Berlin
Wuthering Heights,Emily Bronte,Fiction,DE,Berlin
"Zen and the art of motorcycle maintenance
",Robert M. Pirsig,Fiction,DE,Berlin
Zusammen ist man weniger allein,Anna Gavalda,Fiction,DE,Berlin
"lalu lala, arme kleine Ophelia",Fanny Morweiser,Fiction,DE,Berlin
Aller tage abend,Jenny Erpenbeck,Fiction,DE,Berlin
Der Magier,W. Somerset Maugham,Fiction,DE,Berlin
Der seewolf,Jack London,Fiction,DE,Berlin
Froschkönig,Adam Davies,Fiction,DE,Berlin 
1Q84 (Books 1 & 2),Haruki Murakami,Fiction,EN,Berlin
A Clockwork Orange,Anthony Burgess,Fiction,EN,Berlin
A farewell to arms,Ernest Hemingway,Fiction,EN,Berlin
A games of thrones: a song of ice and fire,George R. R. Martin,Fiction,EN,Berlin
A Hologram for the King,Dave Eggers,Fiction,EN,Berlin 
A Passage to India,Edward Morgan Forster,Fiction,EN,Berlin
A sea of troubles,Donna Leon,Fiction,EN,Berlin
A Tree Grows in Brooklyn,Betty Smith,Fiction,EN,Berlin
Ablutions,Patrick de Witt,Fiction,EN,Berlin 
Americanah,Chimamanda Ngozi Adichie,Fiction,EN,Berlin
Animal Farm,George Orwell,Fiction,EN,Berlin
Big Machine,Victor La Valle,Fiction,EN,Berlin
Birds of America,Lorrie Moore,Fiction,EN,Berlin
Blood Meridian,Cormac McCarthy,Fiction,EN,Berlin
Brave New World,Aldous Huxley,Fiction,EN,Berlin
Brave New World,Aldous Huxley,Fiction,EN,Berlin
Breakfast at Tiffany`s,Truman Capote,Fiction,EN,Berlin
Captain Corelli's Mandolin,Louis de Bernieres,Fiction,EN,Berlin
Catch 22,Joseph Heller,Fiction,EN,Berlin
Catching Fire,Suzanne Collins,Fiction,EN,Berlin
Choke,Chuck Palahniuk,Fiction,EN,Berlin
Cloud Atlas,David Mitchell,Fiction,EN,Berlin 
Coraline,Neil Gaiman,Fiction,EN,Berlin
Darkness at Noon ,Arthur Koestler,Fiction,EN,Berlin
Der gestiefelte kater,Charles Perrault,Fiction,EN,Berlin
Disgrace,J.M Coetzee,Fiction,EN,Berlin
Enduring Love,Ian McEwan,Fiction,EN,Berlin
English Passengers,Matthew Kneale,Fiction,EN,Berlin 
Everything is illuminated,Jonathan Safran Foer,Fiction,EN,Berlin
Farther away,Jonathan Franzen,Fiction,EN,Berlin
Fear and loathing in Las Vegas,Hunter S. Thompson,Fiction,EN,Berlin
Generation X,Douglas Coupland,Fiction,EN,Berlin
German Short Stories,Various,Fiction,EN,Berlin
Harry poter and the half-blooded prince,J. K. Rowling,Fiction,EN,Berlin
Harry potter and the order of the phoenix,J. K. Rowling,Fiction,EN,Berlin
Hollywood,Charles Bukowski,Fiction,EN,Berlin
In the Shadow of the Banyan,Vaddey Ratner,Fiction,EN,Berlin
IQ84,Haruki Murakami,Fiction,EN,Berlin 
"Island
",Aldous Huxley,Fiction,EN,Berlin
Jamrach's Menagerie,Carol Birch,Fiction,EN,Berlin
Jane Eyre,Charlotte Bronte,Fiction,EN,Berlin
Juliet Naked,Nick Homiby,Fiction,EN,Berlin
Kleine blumen,Ernst hinterberger,Fiction,EN,Berlin
Lady Chatterly's lover,David Herbert Richards Lawrence,Fiction,EN,Berlin
Life of Pi,Yann Martel,Fiction,EN,Berlin
Like Nowhere Else,Denyse Wood,Fiction,EN,Berlin
Lullaby,Chuck Palahniuk,Fiction,EN,Berlin
Midnight,Mao Turn,Fiction,EN,Berlin
Moby Dick,Herman Melville,Fiction,EN,Berlin
Mockingjay,Suzanne Collins,Fiction,EN,Berlin
Mort,Terry Pratchett,Fiction,EN,Berlin
Narcopolis,Jeet Thayill,Fiction,EN,Berlin
Nicholas Nickleby,Charles Dickens,Fiction,EN,Berlin
Nine stories,J.D. Salinger,Fiction,EN,Berlin
Nineteen Eighty-Four (1984),George Orwell,Fiction,EN,Berlin
No one belongs here more than you,Miranda July,Fiction,EN,Berlin
Notes of a dirty old man,Charles Bukowski,Fiction,EN,Berlin
Oliver Twist,Charles Dickens,Fiction,EN,Berlin
On Humour,Simon Critchley,Fiction,EN,Berlin
On The Road,Jack Kerouac,Fiction,EN,Berlin
On the road,Jack Kerouac,Fiction,EN,Berlin
Point Omega,Don Delillo,Fiction,EN,Berlin
Pompeii,Robert Harris,Fiction,EN,Berlin
Pygmy,Chuck Palahniuk,Fiction,EN,Berlin
Questions of Travel,Michelle De Krester,Fiction,EN,Berlin
Rebel Heiress,Fiona Moutain,Fiction,EN,Berlin
Romeo & Juliet,William Shakespeare,Fiction,EN,Berlin
See jane run,Joy Fielding,Fiction,EN,Berlin
Sense and Sensibility,Jane Austen,Fiction,EN,Berlin
Snow Crash,Neal Stephenson,Fiction,EN,Berlin
Stoner,John williams,Fiction,EN,Berlin
The book of laughter and forgetting,Milan Kundera,Fiction,EN,Berlin
The Book Thief,Markus Zusak,Fiction,EN,Berlin
The brothers Karamazov,Fyodor Dostoyevsky,Fiction,EN,Brerlin
The elephant vanishes,Haruki Murakami,Fiction,EN,Berlin
The Fault in Our Stars,John Green,Fiction,EN,Berlin
The Gargoyle,Andrew Davidson,Fiction,EN,Berlin
The Golem and the Djinni,Helen Wecker,Fiction,EN,Berlin
The Handmaid's Tale,Margaret Atwood,Fiction,EN,Berlin
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Fiction,EN,Berlin
The Hunger Games,Suzanne Collins,Fiction,EN,Berlin
The hunger games: Catching fire,Suzanne Collins,Fiction,EN,Berlin
The hunger games: mockingjay,Suzanne Collins,Fiction,EN,Berlin
The Innocent,Yan McEwan,Fiction,EN,berlin
The laments,George Hagen,Fiction,EN,Berlin
The Master and Margarita,Mikhail Bulgakov,Fiction,EN,Berlin
The Monk,Matthew Gregory Lewis,Fiction,EN,Berlin
The Moor's Last Sigh,Salman Rushdie,Fiction,EN,Berlin
The Orphan Master's Son,Adam Johnson,Fiction,EN,Berlin 
The Poisonwood Bible,Barbara Kingsolver,Fiction,EN,Berlin
The Prague Cemetery,Umberto Eco,Fiction,EN,Berlin
The reader,Bernhard Schlink,Fiction,EN,Berlin
The sorrow of an American,Siri hustvedt,Fiction,EN,Berlin
The Sum of Days,Isabel Allende,Fiction,EN,Berlin
The Sun Also Rises,Ernest Hemingway,Fiction,EN,Berlin
The Third Policeman,Flann O'Brien,Fiction,EN,Berlin
The Time Traveler's Wife,Audrey Niffenegger,Fiction,EN,Berlin
The Tipping Point,Malcolm Gladwell,Fiction,EN,Berlin
The war of don emmanuel`s nether parts,Louis de bernières,Fiction,EN,Berlin
The Zombie Survival Guide,Max Brooks,Fiction,EN,Berlin
Vanity Fair,William Thackeray,Fiction,EN,Berlin
Victor Hugo,Les Miserables,Fiction,EN,Berlin
Where there`s a will,Matt Beaumont,Fiction,EN,Berlin
World War Z,Max Brooks,Fiction,EN,Berlin
Super Cannes,JG Ballard,Fiction,EN,Berlin
The Christmas Mystery,Jostein Gaarder,Fiction,EN,Berlin
1Q84- complete trilogy,Haruki Murakami,Fiction,EN,Berlin
By Night in Chile,Roberto Bolaño,Fiction,EN,Berlin
Everything is Illuminated,jonathan Safran Foer,Fiction,EN,Berlin
Five germanys i have known ,Fritz stern,Fiction,EN,Berlin
Lost in translation,Eva Hoffman,Fiction,EN,Berlin
Madame  Bovary,Gustave Flaubert,Fiction,EN,Berlin
Slaughterhouse five,Kurt Vonnegut,Fiction,EN,Berlin
The Celestine Prophecy ,James Redfield,Fiction,EN,Berlin
Waiting for Godot,Samuel Beckett,Fiction,EN,Berlin
A Wodehouse Bestiary,P.G. Wodehouse,Fiction,EN,Berlin
